type,entry_time,entry_price,exit_time,exit_price,profit,profit_percent,capital_after_trade,duration_hours
long,2025-04-05 04:00:00,13.5488,2025-04-06 08:00:00,13.1992,-1175087.8852078654,-2.580302314596131,44365617.8902621,28.0
short,2025-04-06 08:00:00,13.1992,2025-04-10 04:00:00,12.4328,2576050.7872520178,5.806412509849075,46941668.67751411,92.0
long,2025-04-10 04:00:00,12.4328,2025-04-15 12:00:00,12.684,948438.5795469643,2.0204620037320553,47890107.25706108,128.0
short,2025-04-15 12:00:00,12.684,2025-04-19 04:00:00,12.754399999999999,-265804.44267558097,-0.5550299590034639,47624302.814385496,88.0
long,2025-04-19 04:00:00,12.754399999999999,2025-04-20 12:00:00,12.252799999999999,-1872949.7500231888,-3.93276045913567,45751353.06436231,32.0
short,2025-04-20 12:00:00,12.252799999999999,2025-04-21 08:00:00,12.9616,-2646624.36765638,-5.784800208931851,43104728.69670593,20.0
long,2025-04-21 08:00:00,12.9616,2025-04-28 20:00:00,14.2784,4379112.667249593,10.15923960004937,47483841.36395552,180.0
short,2025-04-28 20:00:00,14.2784,2025-05-01 20:00:00,14.448799999999999,-566677.3986173501,-1.193411026445533,46917163.96533817,72.0
long,2025-05-01 20:00:00,14.448799999999999,2025-05-04 00:00:00,14.036,-1340416.178844717,-2.856984663086201,45576747.78649345,52.0
short,2025-05-04 00:00:00,14.036,2025-05-08 04:00:00,14.345600000000001,-1005312.134133545,-2.205756625819332,44571435.6523599,100.0
long,2025-05-08 04:00:00,14.345600000000001,2025-05-10 04:00:00,16.6784,7247953.734233851,16.261432076734323,51819389.38659375,48.0
